,transits,exposure_h,dark
273297290,2,31.630000000000003,4
273335920,1,20.00583333333333,3
461000252,1,15.646666666666667,2
461000243,2,28.839444444444446,2
461000247,2,32.498333333333335,2
613741301,2,33.723888888888894,2
667002061,2,37.45305555555555,2
667001237,2,31.83972222222222,2
667002039,2,31.805555555555557,2
613003744,2,32.778888888888886,2
273258030,2,32.87027777777777,1
352005486,3,46.161944444444444,1
273272930,6,104.94611111111111,1
461000258,2,35.99972222222222,1
461000232,1,17.06361111111111,1
273253130,2,36.983333333333334,1
667001798,2,37.388888888888886,1
667001249,2,33.49916666666667,1
667001451,3,47.046388888888885,1
538011255,1,17.095555555555556,1
613271404,2,32.17805555555556,1
620800094,2,36.094166666666666,1
273278840,2,37.07777777777778,1
273273930,6,116.84083333333332,1
273258520,2,41.36694444444444,1
273254130,2,33.51638888888888,1
249566000,1,20.779722222222222,1
667002270,1,16.093333333333334,1
667002291,4,69.06388888888888,1
636023192,2,38.31166666666667,1
667001251,2,31.003888888888888,1
667001378,3,48.46611111111111,1
667002336,2,34.16388888888889,1
273271850,4,72.95722222222221,0
273271860,2,36.266666666666666,0
273272850,3,49.757222222222225,0
273271950,2,31.227777777777778,0
273276060,2,28.675833333333333,0
273273450,2,33.574444444444445,0
273276930,3,49.02583333333333,0
273277060,2,32.40777777777778,0
273271630,3,50.897499999999994,0
273268690,2,33.275277777777774,0
273267690,4,68.775,0
273266690,2,35.38083333333333,0
273265590,1,16.030555555555555,0
273264690,2,34.6825,0
273259630,2,34.43111111111111,0
273219650,2,39.63361111111111,0
273251530,1,15.455833333333333,0
273254770,4,69.46222222222222,0
273257370,2,31.371388888888887,0
273257120,3,46.65138888888889,0
273216130,1,17.860833333333332,0
273210220,1,14.83611111111111,0
273256410,1,17.45,0
273256600,2,29.485833333333332,0
273251810,2,33.445277777777775,0
248109000,2,34.245000000000005,0
273611590,2,33.191944444444445,0
273435910,2,42.120555555555555,0
273426280,1,16.974722222222223,0
273415140,1,21.410555555555554,0
273414440,2,40.14833333333333,0
273413440,2,36.93666666666667,0
273614220,1,18.15277777777778,0
304183000,4,101.56555555555555,0
314845000,3,57.20027777777778,0
352001849,2,34.195277777777775,0
304201000,3,48.62722222222223,0
309368000,2,36.948055555555555,0
311001104,4,63.2225,0
314001139,3,52.676944444444445,0
314001147,2,55.21194444444444,0
314115000,2,32.64666666666667,0
352002243,2,34.92277777777778,0
352002251,2,39.709999999999994,0
352002521,2,48.905,0
352002786,2,36.84722222222222,0
352002931,3,50.82388888888889,0
352003390,3,54.35166666666667,0
352003487,2,34.93777777777778,0
352003797,2,30.85138888888889,0
352004029,1,26.05,0
352004632,1,19.380555555555556,0
352001883,3,77.05361111111111,0
352001887,1,17.019166666666667,0
352002051,1,14.780555555555555,0
352002063,1,18.375,0
352002167,2,59.27777777777778,0
352002241,2,37.13305555555556,0
352005437,2,35.75861111111111,0
352005425,2,34.87722222222222,0
352005354,2,30.984722222222224,0
352005301,3,49.13222222222222,0
352005238,2,32.78055555555555,0
352004858,2,37.95805555555556,0
352005472,1,18.581666666666667,0
352005443,3,48.13916666666667,0
354290000,2,38.25805555555556,0
374987000,2,33.71666666666667,0
375068000,1,21.503055555555555,0
422000125,2,691.5316666666666,0
352005806,2,34.42,0
352146000,2,33.34361111111111,0
352179000,2,39.19388888888889,0
273271320,1,17.689166666666665,0
273279660,2,37.63666666666667,0
273277840,1,17.010833333333334,0
273291160,1,15.464722222222223,0
273279830,3,52.79611111111112,0
273292160,2,42.75861111111111,0
273293160,2,30.697499999999998,0
273297850,1,18.424444444444443,0
273279840,2,17.413888888888888,0
273298160,1,23.875,0
273396870,1,16.291666666666668,0
273258810,1,17.944166666666668,0
249182000,2,43.876666666666665,0
229070000,1,14.875555555555556,0
229659000,2,58.22833333333334,0
215817000,1,16.51972222222222,0
215375000,2,37.61944444444444,0
538002621,1,13.433055555555555,0
525121061,2,29.5675,0
525121002,2,53.38472222222222,0
511101926,4,63.51722222222222,0
511101857,2,34.07361111111111,0
511100897,2,45.30361111111111,0
461000321,2,31.91111111111111,0
461000285,1,20.6275,0
461000284,2,37.85861111111111,0
461000282,2,73.98166666666667,0
461000260,2,34.35166666666667,0
461000248,1,14.560833333333333,0
461000234,2,33.77388888888889,0
461000235,1,16.689166666666665,0
461000239,3,50.44694444444444,0
461000242,1,20.57,0
352005520,2,30.773611111111112,0
613007200,1,17.066388888888888,0
613202701,1,16.477777777777778,0
613271403,2,33.42472222222222,0
613271610,1,16.253055555555555,0
613007420,3,51.56805555555556,0
574005510,2,39.16666666666667,0
538010456,1,124.32555555555555,0
613003573,1,17.12472222222222,0
613003614,2,29.575277777777778,0
613003743,1,16.41722222222222,0
613003808,2,33.70305555555555,0
613004200,1,21.174722222222222,0
577376000,1,16.863888888888887,0
577678000,3,51.25305555555556,0
538004215,3,47.778055555555554,0
613445620,1,16.928055555555556,0
613429702,1,18.09111111111111,0
613427200,2,35.24972222222222,0
613469620,3,58.155277777777776,0
613511600,2,34.761944444444445,0
613572604,3,58.11305555555556,0
613472030,2,28.995,0
613471021,2,37.10416666666667,0
613661401,2,31.589444444444446,0
613661400,4,63.06944444444444,0
613814700,2,28.916666666666664,0
613710000,2,36.12472222222222,0
613881403,1,17.162222222222223,0
613914210,2,33.00527777777778,0
613961020,2,32.66388888888889,0
613511209,2,30.28638888888889,0
629009576,2,33.62833333333333,0
630001226,1,19.436666666666667,0
631010100,2,36.71055555555556,0
631010092,1,15.585277777777778,0
632001135,2,42.290277777777774,0
613271708,1,16.245555555555555,0
613277601,2,34.8575,0
613321600,3,48.781388888888884,0
613400212,3,51.13194444444444,0
613411500,2,32.88138888888889,0
613414602,2,36.30833333333334,0
613414707,2,55.94361111111111,0
613419901,2,32.43333333333334,0
613004310,4,72.53,0
613007100,1,18.82777777777778,0
574004200,2,47.120000000000005,0
667001223,2,31.065555555555555,0
636093240,1,17.450277777777778,0
636023657,2,33.391666666666666,0
636022825,2,35.025555555555556,0
636022074,2,31.442777777777778,0
636022405,2,36.13583333333334,0
636018682,2,54.49638888888889,0
636017134,2,39.778333333333336,0
631010102,1,17.330277777777777,0
632001155,2,39.9725,0
632001149,1,15.972222222222221,0
667001256,2,31.13861111111111,0
667001252,2,38.678333333333335,0
667001255,2,39.986666666666665,0
667001243,2,30.286388888888887,0
667001235,2,40.84527777777778,0
667001290,2,34.88333333333333,0
667001287,2,33.87222222222222,0
667001281,2,38.46666666666667,0
667001300,2,33.10527777777778,0
667001303,2,32.96388888888889,0
667001302,1,17.158333333333335,0
667001321,2,37.591388888888886,0
667001301,2,32.99916666666667,0
667001407,1,19.63388888888889,0
667001611,2,31.78611111111111,0
667001645,2,33.40888888888889,0
667001259,2,33.191944444444445,0
667001270,3,54.62777777777778,0
667001236,1,19.488888888888887,0
667001248,2,36.79166666666667,0
667001245,1,18.733333333333334,0
667002021,2,30.249166666666667,0
667002004,2,38.30083333333333,0
667001708,2,29.945555555555558,0
667001672,1,14.272222222222222,0
667001624,1,15.172777777777778,0
667002026,1,19.48361111111111,0
667002025,2,35.224722222222226,0
667002070,2,34.49861111111111,0
667002199,2,30.95916666666667,0
667002072,2,38.00583333333333,0
667002240,5,67.21527777777779,0
667002211,3,48.92666666666666,0
667002277,1,16.81388888888889,0
667002308,2,36.23305555555555,0
667002314,2,35.78138888888889,0
667002024,2,32.437222222222225,0
667002320,1,16.330277777777777,0
667002321,1,14.903333333333334,0
667002327,2,28.383333333333333,0
667002323,2,26.86777777777778,0
667002334,1,16.227777777777778,0
667002335,2,38.88472222222222,0
667002337,2,33.03888888888889,0
667002359,2,30.921666666666667,0
667002360,2,36.141666666666666,0
667002362,1,17.311666666666667,0
667002369,2,30.342222222222222,0
667002413,2,31.750555555555557,0
667002414,2,35.29666666666667,0
667002425,1,23.14138888888889,0
667002428,1,15.961944444444445,0
667002491,1,15.318333333333333,0
